date;vwretx;vwretd
2023-02-28;-0.026252;-0.024666
2023-03-31;0.022043;0.02395
2023-04-28;0.007865;0.008976
2023-05-31;-0.001057;0.000708
2023-06-30;0.064342;0.066183
2023-07-31;0.034672;0.035618
2023-08-31;-0.022266;-0.020608
2023-09-29;-0.04886;-0.047391
2023-10-31;-0.029857;-0.028865
2023-11-30;0.090037;0.092053
2023-12-29;0.051476;0.053604
2024-01-31;0.006743;0.007561
2024-02-29;0.049052;0.050584
2024-03-28;0.030938;0.03245
2024-04-30;-0.043636;-0.042724
2024-05-31;0.044979;0.046553
2024-06-28;0.02438;0.026073
2024-07-31;0.019;0.019878
2024-08-30;0.020203;0.021572
2024-09-30;0.019485;0.020969
2024-10-31;-0.009139;-0.008298
2024-11-29;0.063463;0.064855
2024-12-31;-0.03347;-0.031582
